"NACE Rev.2.1";"NAF 2025 sous-classes";Intitulés
20.42;20.42Y;Fabrication de parfums et de produits pour la toilette
20.5;;Fabrication d’autres produits chimiques
20.51;20.51Y;Fabrication de biocarburants liquides
20.59;20.59Y;Fabrication d’autres produits chimiques n.c.a.
20.6;;Fabrication de fibres artificielles ou synthétiques
20.60;20.60Y;Fabrication de fibres artificielles ou synthétiques
21;;Industrie pharmaceutique
21.1;;Fabrication de produits pharmaceutiques de base
21.10;21.10Y;Fabrication de produits pharmaceutiques de base
21.2;;Fabrication de préparations pharmaceutiques
21.20;21.20Y;Fabrication de préparations pharmaceutiques
22;;Fabrication de produits en caoutchouc et en plastique
22.1;;Fabrication de produits en caoutchouc
22.11;22.11Y;Fabrication et rechapage de pneus en caoutchouc et fabrication de chambres à air
22.12;22.12Y;Fabrication d’autres articles en caoutchouc
22.2;;Fabrication de produits en plastique
22.21;22.21Y;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques
22.22;22.22Y;Fabrication d’emballages en matières plastiques
22.23;22.23Y;Fabrication de portes et fenêtres en matières plastiques
22.24;22.24Y;Fabrication d’éléments en matières plastiques pour la construction
22.25;22.25Y;Façonnage et finition de produits en matières plastiques
22.26;22.26Y;Fabrication d’autres articles en matières plastiques
23;;Fabrication d’autres produits minéraux non métalliques
23.1;;Fabrication de verre et d’articles en verre
23.11;23.11Y;Fabrication de verre plat
23.12;23.12Y;Façonnage et transformation du verre plat
23.13;23.13Y;Fabrication de verre creux
23.14;23.14Y;Fabrication de fibres de verre
23.15;23.15Y;Fabrication et façonnage d’autres articles en verre, y compris verre technique
23.2;;Fabrication de produits réfractaires
23.20;23.20Y;Fabrication de produits réfractaires
23.3;;Fabrication de matériaux de construction en terre cuite
23.31;23.31Y;Fabrication de carreaux en céramique
23.32;23.32Y;Fabrication de briques, tuiles et produits de construction, en terre cuite
23.4;;Fabrication d’autres produits en céramique et en porcelaine
23.41;23.41Y;Fabrication d’articles céramiques à usage domestique ou ornemental
23.42;23.42Y;Fabrication d’appareils sanitaires en céramique
23.43;23.43Y;Fabrication d’isolateurs et pièces isolantes en céramique
23.44;23.44Y;Fabrication d’autres produits céramiques à usage technique
23.45;23.45Y;Fabrication d’autres produits céramiques
23.5;;Fabrication de ciment, chaux et plâtre
23.51;23.51Y;Fabrication de ciment
23.52;23.52Y;Fabrication de chaux et plâtre
23.6;;Fabrication d’ouvrages en béton, en ciment ou en plâtre
23.61;23.61Y;Fabrication d’éléments en béton pour la construction
23.62;23.62Y;Fabrication d’éléments en plâtre pour la construction
23.63;23.63Y;Fabrication de béton prêt à l’emploi
23.64;23.64Y;Fabrication de mortiers et de bétons secs
23.65;23.65Y;Fabrication d’ouvrages en fibre-ciment
23.66;23.66Y;Fabrication d’autres ouvrages en béton, en ciment ou en plâtre
23.7;;Taille, façonnage et finissage de pierres
23.70;23.70Y;Taille, façonnage et finissage de pierres
23.9;;Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a.
23.91;23.91Y;Fabrication de produits abrasifs
23.99;23.99Y;Fabrication d’autres produits minéraux non métalliques n.c.a.
24;;Métallurgie
24.1;;Sidérurgie
24.10;24.10Y;Sidérurgie
24.2;;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier
24.20;24.20Y;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier
24.3;;Fabrication d’autres produits de première transformation de l’acier
24.31;24.31Y;Étirage à froid de barres
24.32;24.32Y;Laminage à froid de feuillards
24.33;24.33Y;Profilage à froid par formage ou pliage
24.34;24.34Y;Tréfilage à froid
24.4;;Production de métaux précieux et d’autres métaux non ferreux
24.41;24.41Y;Production de métaux précieux
24.42;24.42Y;Métallurgie de l’aluminium
24.43;24.43Y;Métallurgie du plomb, du zinc ou de l’étain
24.44;24.44Y;Métallurgie du cuivre
24.45;24.45Y;Métallurgie des autres métaux non ferreux
24.46;24.46Y;Élaboration et transformation de matières nucléaires
24.5;;Fonderie
24.51;24.51Y;Fonderie de fonte
24.52;24.52Y;Fonderie d’acier
24.53;24.53Y;Fonderie de métaux légers
24.54;24.54Y;Fonderie d’autres métaux non ferreux
25;;Fabrication de produits métalliques, à l’exception des machines et des équipements
25.1;;Fabrication d’éléments en métal pour la construction
25.11;25.11Y;Fabrication de structures métalliques et de parties de structures
25.12;25.12Y;Fabrication de portes et fenêtres en métal
25.2;;Fabrication de réservoirs, citernes et conteneurs métalliques
25.21;25.21Y;Fabrication de radiateurs et de chaudières pour le chauffage central
25.22;25.22Y;Fabrication d’autres réservoirs, citernes et conteneurs métalliques
25.3;;Fabrication d’armes et de munitions
25.30;25.30Y;Fabrication d’armes et de munitions
25.4;;"Forgeage et façonnage de métal ; métallurgie des poudres"
25.40;25.40Y;"Forgeage et façonnage de métal ; métallurgie des poudres"
25.5;;"Traitement et revêtement des métaux ; usinage"
25.51;25.51Y;Revêtement des métaux
25.52;25.52Y;Traitement thermique des métaux
25.53;25.53Y;Usinage des métaux
25.6;;Fabrication de coutellerie, d’outillage et de quincaillerie
25.61;25.61Y;Fabrication de coutellerie
25.62;25.62Y;Fabrication de serrures et de ferrures
25.63;25.63Y;Fabrication d’outillage
25.9;;Fabrication d’autres ouvrages en métaux
25.91;25.91Y;Fabrication de fûts et emballages métalliques similaires
25.92;25.92Y;Fabrication d’emballages métalliques légers
25.93;25.93Y;Fabrication d’articles en fils métalliques, de chaînes et de ressorts
25.94;25.94Y;Fabrication de vis et de boulons
25.99;25.99Y;Fabrication d’autres produits métalliques n.c.a.
26;;Fabrication de produits informatiques, électroniques et optiques
26.1;;Fabrication de composants et cartes électroniques
26.11;26.11Y;Fabrication de composants électroniques
26.12;26.12Y;Fabrication de cartes électroniques assemblées
26.2;;Fabrication d’ordinateurs et d’équipements périphériques
26.20;26.20Y;Fabrication d’ordinateurs et d’équipements périphériques
26.3;;Fabrication d’équipements de communication
26.30;26.30Y;Fabrication d’équipements de communication
26.4;;Fabrication de produits électroniques grand public
26.40;26.40Y;Fabrication de produits électroniques grand public
26.5;;"Fabrication d’instruments de mesure et d’essai ; horlogerie"
26.51;26.51Y;Fabrication d’instruments et d’appareils de mesure, d’essai et de navigation
26.52;26.52Y;Horlogerie
26.6;;Fabrication d’équipements d’irradiation médicale, d’équipements électromédicaux et électrothérapeutiques
26.60;26.60Y;Fabrication d’équipements d’irradiation médicale, d’équipements électromédicaux et électrothérapeutiques
26.7;;Fabrication de matériels optique et photographique et de supports magnétiques et optiques
26.70;26.70Y;Fabrication de matériels optique et photographique et de supports magnétiques et optiques
27;;Fabrication d’équipements électriques
27.1;;Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique
27.11;27.11Y;Fabrication de moteurs, génératrices et transformateurs électriques
27.12;27.12Y;Fabrication de matériel de distribution et de commande électrique
27.2;;Fabrication de piles et d’accumulateurs électriques
27.20;27.20Y;Fabrication de piles et d’accumulateurs électriques
27.3;;Fabrication de fils et câbles et de matériel d’installation électrique
27.31;27.31Y;Fabrication de câbles de fibres optiques
27.32;27.32Y;Fabrication d’autres fils et câbles électroniques ou électriques
27.33;27.33Y;Fabrication de matériel d’installation électrique
27.4;;Fabrication d’appareils d’éclairage
27.40;27.40Y;Fabrication d’appareils d’éclairage
27.5;;Fabrication d’appareils ménagers
27.51;27.51Y;Fabrication d’appareils électroménagers
27.52;27.52Y;Fabrication d’appareils ménagers non électriques
27.9;;Fabrication d’autres matériels électriques
27.90;27.90Y;Fabrication d’autres matériels électriques
28;;Fabrication de machines et équipements n.c.a.
28.1;;Fabrication de machines d’usage général
28.11;28.11Y;Fabrication de moteurs et turbines, à l’exception des moteurs d’avions et de véhicules
28.12;28.12Y;Fabrication d’équipements de transmission de puissance hydrauliques et pneumatiques
28.13;;Fabrication d’autres pompes et compresseurs
;28.13G;Fabrication d'autres pompes
;28.13H;Fabrication d'autres compresseurs
28.14;28.14Y;Fabrication d’autres articles de robinetterie
28.15;28.15Y;Fabrication de roulements et de transmissions mécaniques
28.2;;Fabrication d’autres machines d’usage général
28.21;28.21Y;Fabrication de fours et brûleurs et d’équipements fixes de chauffage domestique
28.22;28.22Y;Fabrication de matériel de levage et de manutention
28.23;28.23Y;Fabrication de machines et d’équipements de bureau (à l’exception des ordinateurs et équipements périphériques)
28.24;28.24Y;Fabrication d’outillage portatif à moteur incorporé
28.25;28.25Y;Fabrication d’équipements aérauliques et frigorifiques industriels
28.29;28.29Y;Fabrication de machines diverses d’usage général
28.3;;Fabrication de machines agricoles et forestières
28.30;28.30Y;Fabrication de machines agricoles et forestières
28.4;;Fabrication de machines de formage des métaux et de machines-outils
28.41;28.41Y;Fabrication de machines-outils pour le formage et le travail des métaux
28.42;28.42Y;Fabrication d’autres machines-outils
28.9;;Fabrication d’autres machines d’usage spécifique
28.91;28.91Y;Fabrication de machines pour la métallurgie
28.92;28.92Y;Fabrication de machines pour l’extraction ou la construction
28.93;28.93Y;Fabrication de machines pour l’industrie agro-alimentaire
28.94;28.94Y;Fabrication de machines pour les industries textiles et du cuir
28.95;28.95Y;Fabrication de machines pour les industries du papier et du carton
28.96;28.96Y;Fabrication de machines pour le travail du caoutchouc ou des plastiques
28.97;28.97Y;Fabrication de machines de fabrication additive
28.99;28.99Y;Fabrication d’autres machines d’usage spécifique n.c.a.
29;;Industrie automobile
29.1;;Construction de véhicules automobiles
29.10;29.10Y;Construction de véhicules automobiles
29.2;;"Fabrication de carrosseries de véhicules automobiles ; fabrication de remorques et de semi-remorques"
29.20;29.20Y;"Fabrication de carrosseries de véhicules automobiles ; fabrication de remorques et de semi-remorques"
29.3;;Fabrication d’équipements automobiles
29.31;29.31Y;Fabrication d’équipements électriques et électroniques automobiles
29.32;29.32Y;Fabrication d’autres équipements automobiles
30;;Fabrication d’autres matériels de transport
30.1;;Construction navale
30.11;30.11Y;Construction de navires et de structures flottantes civiles
30.12;30.12Y;Construction de bateaux de plaisance
30.13;30.13Y;Construction de bateaux et navires militaires
30.2;;Construction de locomotives et d’autre matériel ferroviaire roulant
30.20;30.20Y;Construction de locomotives et d’autre matériel ferroviaire roulant
30.3;;Construction aéronautique et spatiale
30.31;30.31Y;Construction aéronautique et spatiale civile
30.32;30.32Y;Construction aéronautique et spatiale militaire
30.4;;Construction de véhicules militaires de combat
30.40;30.40Y;Construction de véhicules militaires de combat
30.9;;Fabrication de matériels de transport n.c.a.
30.91;30.91Y;Fabrication de motocycles
30.92;30.92Y;Fabrication de bicyclettes et de véhicules pour invalides
30.99;30.99Y;Fabrication d’autres équipements de transport n.c.a.
31;;Fabrication de meubles
31.0;;Fabrication de meubles
31.00;;Fabrication de meubles
;31.00G;Fabrication de meubles à destination de professionnels
;31.00H;Fabrication de meubles de cuisine et salle de bain
;31.00J;Fabrication d'autres meubles domestiques, de sommiers et de matelas
32;;Autres industries manufacturières
32.1;;Fabrication d’articles de joaillerie, bijouterie et articles similaires
32.11;32.11Y;Frappe de monnaie
32.12;32.12Y;Fabrication d’articles de joaillerie et bijouterie
32.13;32.13Y;Fabrication d’articles de bijouterie fantaisie et articles similaires
32.2;;Fabrication d’instruments de musique
32.20;32.20Y;Fabrication d’instruments de musique
32.3;;Fabrication d’articles de sport
32.30;32.30Y;Fabrication d’articles de sport
32.4;;Fabrication de jeux et jouets
32.40;32.40Y;Fabrication de jeux et jouets
32.5;;Fabrication d’instruments et de fournitures à usage médical et dentaire
32.50;32.50Y;Fabrication d’instruments et de fournitures à usage médical et dentaire
32.9;;Activités manufacturières n.c.a.
32.91;32.91Y;Fabrication d’articles de brosserie
32.99;32.99Y;Autres activités manufacturières n.c.a.
33;;Réparation, entretien et installation de machines et d’équipements
33.1;;Réparation et entretien d’ouvrages en métaux, de machines et d’équipements
33.11;33.11Y;Réparation et entretien d’ouvrages en métaux
33.12;33.12Y;Réparation et entretien de machines
33.13;33.13Y;Réparation et entretien de matériels électroniques et optiques
33.14;33.14Y;Réparation et entretien d’équipements électriques
33.15;33.15Y;Réparation et entretien de bateaux et navires civils
33.16;33.16Y;Réparation et entretien d’aéronefs et d’engins spatiaux civils
33.17;33.17Y;Réparation et entretien d’autres équipements de transport civils
33.18;;Réparation et entretien de véhicules de combat, de navires, de bateaux, d’aéronefs et d’engins spatiaux militaires
;33.18G;Réparation et entretien d’aéronefs et d’engins spatiaux militaires
;33.18H;Réparation et entretien de véhicules de combat, de navires et de bateaux militaires
33.19;33.19Y;Réparation et entretien d’autres équipements
33.2;;Installation de machines et d’équipements industriels
33.20;33.20Y;Installation de machines et d’équipements industriels
D;;PRODUCTION ET DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ, DE VAPEUR ET D’AIR CONDITIONNÉ
35;;Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné
35.1;;Production, transport et distribution d’électricité
35.11;35.11Y;Production d’électricité à partir de sources non renouvelables
35.12;35.12Y;Production d’électricité à partir de sources renouvelables
35.13;35.13Y;Transport d’électricité
35.14;35.14Y;Distribution d’électricité
35.15;;Commerce d’électricité
;35.15G;Exploitation d'installations de recharge pour véhicules électriques
;35.15H;Autre commerce d’électricité
35.16;35.16Y;Stockage de l’électricité
35.2;;Production de gaz et distribution de combustibles gazeux par conduites
35.21;35.21Y;Production de gaz
35.22;35.22Y;Distribution de combustibles gazeux par conduites
35.23;35.23Y;Commerce de combustibles gazeux par conduites
35.24;35.24Y;Stockage de gaz dans le cadre de services d’approvisionnement en réseau
35.3;;Production et distribution de vapeur et d’air conditionné
35.30;35.30Y;Production et distribution de vapeur et d’air conditionné
35.4;;Activités des courtiers et agents pour l’électricité et le gaz naturel
35.40;35.40Y;Activités des courtiers et agents pour l’électricité et le gaz naturel
E;;"PRODUCTION ET DISTRIBUTION D’EAU ; ASSAINISSEMENT, GESTION DES DÉCHETS ET DÉPOLLUTION"
36;;Captage, traitement et distribution d’eau
36.0;;Captage, traitement et distribution d’eau
36.00;36.00Y;Captage, traitement et distribution d’eau
37;;Collecte et traitement des eaux usées
37.0;;Collecte et traitement des eaux usées
37.00;37.00Y;Collecte et traitement des eaux usées
38;;Collecte, valorisation et élimination des déchets
38.1;;Collecte des déchets
38.11;38.11Y;Collecte des déchets non dangereux
38.12;38.12Y;Collecte des déchets dangereux
38.2;;Valorisation des déchets
38.21;38.21Y;Récupération de matériaux
38.22;38.22Y;Valorisation énergétique
38.23;38.23Y;Autre valorisation des déchets
38.3;;Élimination des déchets sans valorisation
38.31;38.31Y;Incinération sans récupération d’énergie
38.32;38.32Y;Mise en décharge ou stockage permanent
38.33;38.33Y;Autre élimination des déchets
39;;Activités de dépollution et autres activités de service de gestion des déchets
39.0;;Activités de dépollution et autres activités de service de gestion des déchets
39.00;39.00Y;Activités de dépollution et autres activités de service de gestion des déchets
F;;CONSTRUCTION
41;;Construction de bâtiments résidentiels et non résidentiels
41.0;;Construction de bâtiments résidentiels et non résidentiels
41.00;;Construction de bâtiments résidentiels et non résidentiels
;41.00G;Construction de maisons individuelles
;41.00H;Construction d'autres bâtiments
42;;Génie civil
42.1;;Construction de routes et de voies ferrées
42.11;42.11Y;Construction de routes et autoroutes
42.12;42.12Y;Construction de voies ferrées de surface et souterraines
42.13;;Construction de ponts et tunnels
;42.13G;Construction de ponts et de viaducs
;42.13H;Construction de tunnels
42.2;;Construction de réseaux et de lignes
42.21;42.21Y;Construction de réseaux pour fluides
42.22;42.22Y;Construction de réseaux électriques et de télécommunications
42.9;;Construction d’autres ouvrages de génie civil
42.91;42.91Y;Construction d’ouvrages maritimes et fluviaux
42.99;42.99Y;Construction d’autres ouvrages de génie civil n.c.a.
43;;Travaux de construction spécialisés
43.1;;Démolition et préparation des sites
43.11;43.11Y;Démolition
43.12;;Travaux de préparation des sites
;43.12G;Travaux de terrassement courants et travaux préparatoires
;43.12H;Travaux de terrassement spécialisés ou de grande masse
43.13;43.13Y;Forages et sondages
43.2;;Travaux d’installation électrique, plomberie et autres travaux d’installation
43.21;;Installation électrique
;43.21G;Travaux d'installation électrique dans tous locaux
